1037,Pantitlán,STC0101,Terminal / Transbordo,Venustiano Carranza,1984.0,CDMX,-99.0742859007063,19.4153411939961,1,1,5014,STC Metro,t,
1038,Zaragoza,STC0102,Intermedia,Venustiano Carranza,1969.0,CDMX,-99.0825467969711,19.4121526940305,1,2,5020,STC Metro,t,
1039,Gomez Farías,STC0103,Intermedia,Venustiano Carranza,1969.0,CDMX,-99.0900784397441,19.4166353160295,1,3,5007,STC Metro,t,
1040,Boulevard Puerto Aéreo,STC0104,Intermedia,Venustiano Carranza,1969.0,CDMX,-99.0962797070309,19.4199845534132,1,4,5003,STC Metro,t,
1041,Balbuena,STC0105,Intermedia,Venustiano Carranza,1969.0,CDMX,-99.1026419066529,19.4233741946482,1,5,5001,STC Metro,t,
1042,Moctezuma,STC0106,Intermedia,Venustiano Carranza,1969.0,CDMX,-99.1098409556709,19.4269357713719,1,6,5012,STC Metro,t,
1043,San Lázaro,STC0107,Transbordo,Venustiano Carranza,1969.0,CDMX,-99.1141968631142,19.4313168083262,1,7,5017,STC Metro,t,
1044,Candelaria,STC0108,Transbordo,Venustiano Carranza,1969.0,CDMX,-99.120913114534,19.4292932493898,1,8,5004,STC Metro,t,
1045,Merced,STC0109,Intermedia,Venustiano Carranza,1969.0,CDMX,-99.1251831913525,19.425559716937,1,9,5011,STC Metro,t,
1046,Pino Suárez,STC0110,Transbordo,Cuauhtémoc,1969.0,CDMX,-99.1330688858292,19.4260352664792,1,10,5015,STC Metro,t,
1047,Isabel La Católica,STC0111,Intermedia,Cuauhtémoc,1969.0,CDMX,-99.1378646754492,19.4264399884029,1,11,5009,STC Metro,t,
1048,Salto del Agua,STC0112,Transbordo,Cuauhtémoc,1969.0,CDMX,-99.1421240234201,19.4272797831817,1,12,5016,STC Metro,t,
1049,Balderas,STC0113,Transbordo,Cuauhtémoc,1969.0,CDMX,-99.1489690208955,19.4272291932659,1,13,5002,STC Metro,t,
1050,Cuauhtémoc,STC0114,Intermedia,Cuauhtémoc,1969.0,CDMX,-99.1544836425289,19.4256912520391,1,14,5006,STC Metro,t,
1051,Insurgentes,STC0115,Intermedia,Cuauhtémoc,1969.0,CDMX,-99.1632608872129,19.4237229457214,1,15,5008,STC Metro,t,
1052,Sevilla,STC0116,Intermedia,Cuauhtémoc,1969.0,CDMX,-99.171189496944,19.4215373987659,1,16,5018,STC Metro,t,
1053,Chapultepec,STC0117,Intermedia,Cuauhtémoc / Miguel Hidalgo,1969.0,CDMX,-99.1769401531288,19.4205862719081,1,17,5005,STC Metro,t,
1054,Juanacatlán,STC0118,Intermedia,Miguel Hidalgo,1970.0,CDMX,-99.1820256214357,19.4128961059459,1,18,5010,STC Metro,t,
1055,Tacubaya,STC0119,Transbordo,Miguel Hidalgo,1970.0,CDMX,-99.187347124209,19.4019167516416,1,19,5019,STC Metro,t,
1056,Observatorio,STC0120,Terminal,Álvaro Obregón,1972.0,CDMX,-99.2005221347135,19.3983546268065,1,20,5013,STC Metro,t,
1057,Cuatro Caminos,STC0201,Terminal,Naucalpan de Juárez,1984.0,EDOMEX,-99.2158570433054,19.4597898235646,2,1,5045,STC Metro,t,
1058,Panteones,STC0202,Intermedia,Miguel Hidalgo,1984.0,CDMX,-99.2030789998089,19.4586669484272,2,2,5052,STC Metro,t,
1059,Tacuba,STC0203,Transbordo,Miguel Hidalgo,1970.0,CDMX,-99.1875561125858,19.4592615683741,2,3,5059,STC Metro,t,
1060,Cuitláhuac,STC0204,Intermedia,Miguel Hidalgo,1970.0,CDMX,-99.1815172993071,19.4572233233196,2,4,5046,STC Metro,t,
1061,Popotla,STC0205,Intermedia,Miguel Hidalgo,1970.0,CDMX,-99.1752730288877,19.4528816760626,2,5,5054,STC Metro,t,
1062,Colegio Militar,STC0206,Intermedia,Miguel Hidalgo,1970.0,CDMX,-99.1718934456121,19.449421834561,2,6,5044,STC Metro,t,
1063,Normal,STC0207,Intermedia,Miguel Hidalgo,1970.0,CDMX,-99.1673897246518,19.4446684167887,2,7,5051,STC Metro,t,
