num_estacion,nombre,tipo,alcaldia_municipio,estado_ciudad,longitud,latitud,linea_id,linea_nombre
1,Periférico Oriente/Tláhuac,Terminal / Transbordo,Iztapalapa,CDMX,-99.0745175260824,19.3176186017939,71,Periférico Interior Sur
2,Estrella del Sur,Intermedia,Iztapalapa,CDMX,-99.08,19.31,71,Periférico Interior Sur
3,Culhuacán,Intermedia,Iztapalapa,CDMX,-99.0845,19.304,71,Periférico Interior Sur
4,Atlalilco/Periférico,Transbordo,Iztapalapa,CDMX,-99.087,19.301,71,Periférico Interior Sur
5,Canal de Chalco/Periférico,Intermedia,Tláhuac,CDMX,-99.09,19.2995,71,Periférico Interior Sur
6,Cuemanco,Intermedia,Xochimilco,CDMX,-99.0942407817674,19.2984866689764,71,Periférico Interior Sur
7,Canal Nacional,Intermedia,Xochimilco,CDMX,-99.1022150696128,19.2951373900851,71,Periférico Interior Sur
8,Muyuguarda/Cafetales,Transbordo,Xochimilco,CDMX,-99.1151871930735,19.2896182983505,71,Periférico Interior Sur
9,Vaqueritos,Transbordo,Xochimilco,CDMX,-99.1263201882756,19.2848434038385,71,Periférico Interior Sur
10,Coapa,Intermedia,Tlalpan,CDMX,-99.1315359290786,19.2837426599594,71,Periférico Interior Sur
11,Tepepan,Intermedia,Tlalpan,CDMX,-99.1413095240045,19.2826902381638,71,Periférico Interior Sur
12,ESCA,Intermedia,Tlalpan,CDMX,-99.1471534331923,19.2855171865218,71,Periférico Interior Sur
13,Zona de Hospitales,Intermedia,Tlalpan,CDMX,-99.1520826881746,19.2904007344833,71,Periférico Interior Sur
14,Huipulco,Intermedia,Tlalpan,CDMX,-99.154638074917,19.2947326036117,71,Periférico Interior Sur
15,Imán/Circuito Azteca,Intermedia,Tlalpan,CDMX,-99.1605958187857,19.3010375800792,71,Periférico Interior Sur
16,Gran Sur,Intermedia,Tlalpan,CDMX,-99.165564430135,19.3021048026286,71,Periférico Interior Sur
17,Santa Ursula,Intermedia,Coyoacán,CDMX,-99.1728062297974,19.3030265199362,71,Periférico Interior Sur
18,Cuicuilco,Intermedia,Tlalpan,CDMX,-99.1814065330579,19.3031746140771,71,Periférico Interior Sur
19,Periférico Sur,Transbordo,Coyoacán,CDMX,-99.1858597527883,19.3031599255714,71,Periférico Interior Sur
20,Jardines del Pedregal,Intermedia,Coyoacán,CDMX,-99.1997557764832,19.304247670836,71,Periférico Interior Sur
21,Ajusco,Transbordo,Coyoacán,CDMX,-99.204757323956,19.3058181987807,71,Periférico Interior Sur
22,Santa Teresa,Intermedia,Álvaro Obregón,CDMX,-99.2158309051932,19.3075696512559,71,Periférico Interior Sur
23,Ángeles,Intermedia,La Magdalena Contreras,CDMX,-99.2199193504131,19.3129905724798,71,Periférico Interior Sur
24,Suiza,Intermedia,La Magdalena Contreras,CDMX,-99.2216738353594,19.3186553545115,71,Periférico Interior Sur
25,Luis Cabrera,Terminal / Transbordo,La Magdalena Contreras,CDMX,-99.220328643837,19.320925949733,71,Periférico Interior Sur
1,Luis Cabrera,Terminal / Transbordo,La Magdalena Contreras,CDMX,-99.220328643837,19.320925949733,72,Periférico Interior Poniente
2,San Antonio Elevado,Intermedia,La Magdalena Contreras,CDMX,-99.2156603800189,19.324062314384,72,Periférico Interior Poniente
