"anio","mes","fecha_corte","hora","genero","rango_edad","viajes"
2010,"Abril","2010-04-30","00:00:00 hrs","Hombre","10 - 20 años",7
2010,"Abril","2010-04-30","00:00:00 hrs","Hombre","21 - 30 años",87
2010,"Abril","2010-04-30","00:00:00 hrs","Hombre","31 - 40 años",71
2010,"Abril","2010-04-30","00:00:00 hrs","Hombre","41 - 50 años",65
2010,"Abril","2010-04-30","00:00:00 hrs","Hombre","51 - 60 años",12
2010,"Abril","2010-04-30","00:00:00 hrs","Hombre","61 - 70 años",5
2010,"Abril","2010-04-30","00:00:00 hrs","Mujer","10 - 20 años",3
2010,"Abril","2010-04-30","00:00:00 hrs","Mujer","21 - 30 años",31
2010,"Abril","2010-04-30","00:00:00 hrs","Mujer","31 - 40 años",25
2010,"Abril","2010-04-30","00:00:00 hrs","Mujer","41 - 50 años",6
2010,"Abril","2010-04-30","00:00:00 hrs","Mujer","51 - 60 años",3
2010,"Abril","2010-04-30","01:00:00 hrs","Hombre","21 - 30 años",1
2010,"Abril","2010-04-30","01:00:00 hrs","Hombre","31 - 40 años",4
2010,"Abril","2010-04-30","01:00:00 hrs","Hombre","41 - 50 años",4
2010,"Abril","2010-04-30","01:00:00 hrs","Mujer","21 - 30 años",2
2010,"Abril","2010-04-30","01:00:00 hrs","Mujer","31 - 40 años",2
2010,"Abril","2010-04-30","02:00:00 hrs","Hombre","21 - 30 años",3
2010,"Abril","2010-04-30","02:00:00 hrs","Hombre","31 - 40 años",4
2010,"Abril","2010-04-30","02:00:00 hrs","Hombre","41 - 50 años",3
2010,"Abril","2010-04-30","02:00:00 hrs","Hombre","51 - 60 años",1
2010,"Abril","2010-04-30","02:00:00 hrs","Mujer","21 - 30 años",3
2010,"Abril","2010-04-30","02:00:00 hrs","Mujer","31 - 40 años",2
2010,"Abril","2010-04-30","03:00:00 hrs","Hombre","10 - 20 años",1
2010,"Abril","2010-04-30","03:00:00 hrs","Hombre","21 - 30 años",3
2010,"Abril","2010-04-30","03:00:00 hrs","Hombre","31 - 40 años",1
2010,"Abril","2010-04-30","03:00:00 hrs","Hombre","41 - 50 años",5
2010,"Abril","2010-04-30","03:00:00 hrs","Hombre","51 - 60 años",1
2010,"Abril","2010-04-30","03:00:00 hrs","Mujer","21 - 30 años",3
2010,"Abril","2010-04-30","03:00:00 hrs","Mujer","31 - 40 años",1
2010,"Abril","2010-04-30","03:00:00 hrs","Mujer","41 - 50 años",1
2010,"Abril","2010-04-30","04:00:00 hrs","Hombre","21 - 30 años",4
2010,"Abril","2010-04-30","04:00:00 hrs","Hombre","31 - 40 años",3
2010,"Abril","2010-04-30","04:00:00 hrs","Hombre","41 - 50 años",2
2010,"Abril","2010-04-30","04:00:00 hrs","Hombre","51 - 60 años",2
2010,"Abril","2010-04-30","04:00:00 hrs","Mujer","41 - 50 años",1
2010,"Abril","2010-04-30","04:00:00 hrs","Mujer","51 - 60 años",1
2010,"Abril","2010-04-30","05:00:00 hrs","Hombre","21 - 30 años",3
2010,"Abril","2010-04-30","05:00:00 hrs","Hombre","51 - 60 años",2
2010,"Abril","2010-04-30","05:00:00 hrs","Mujer","21 - 30 años",1
2010,"Abril","2010-04-30","06:00:00 hrs","Hombre","21 - 30 años",2
